"group-ID","Spec-Type","Spec-No","1st level","2nd level","3rd level","4th level","5th level","6th level","7th level"
"E7000","E",7000,"METAZOA","MOLLUSCA","GASTROPODA","PROSOBRANCHIA","ARCHAEOGASTROPODA","PATELLIDAE",
"E7010","E",7010,"METAZOA","MOLLUSCA","GASTROPODA","PROSOBRANCHIA","ARCHAEOGASTROPODA","TROCHIDAE",
"E7020","E",7020,"METAZOA","MOLLUSCA","GASTROPODA","PROSOBRANCHIA","MESOGASTROPODA","POTAMIDIDAE",
"E7030","E",7030,"METAZOA","MOLLUSCA","GASTROPODA","PROSOBRANCHIA","NEOGASTROPODA","MELONGENIDAE",
"E7040","E",7040,"METAZOA","MOLLUSCA","GASTROPODA","PROSOBRANCHIA","NEOGASTROPODA","NASSARIIDAE",
"E7050","E",7050,"METAZOA","MOLLUSCA","GASTROPODA","PROSOBRANCHIA","NEOGASTROPODA","FASCIOLARIIDAE",
"E7060","E",7060,"METAZOA","MOLLUSCA","GASTROPODA","PROSOBRANCHIA","NEOGASTROPODA","CONIDAE",
"E7070","E",7070,"METAZOA","MOLLUSCA","GASTROPODA","OPISTHOBRANCHIA","ANASPIDEA","APLYSIIDAE",
"E7080","E",7080,"METAZOA","MOLLUSCA","GASTROPODA","OPISTHOBRANCHIA","ANASPIDEA","DOLABELLIDAE",
"E7090","E",7090,"METAZOA","MOLLUSCA","GASTROPODA","PULMONATA","BASOMMATOPHORA","LYMNAEIDAE",
"E7092","E",7092,"METAZOA","MOLLUSCA","GASTROPODA","PULMONATA","BASOMMATOPHORA","PLANORBIDAE",
"E7100","E",7100,"METAZOA","MOLLUSCA","GASTROPODA","PULMONATA","STYLOMMATOPHORA","ACHATINIDAE",
"E7110","E",7110,"METAZOA","MOLLUSCA","GASTROPODA","PULMONATA","STYLOMMATOPHORA","HELICIDAE",
"E7120","E",7120,"METAZOA","MOLLUSCA","PELECYPODA (BIVALVIA)",,,,
"E7130","E",7130,"METAZOA","MOLLUSCA","CEPHALOPODA","COLEOIDEA","SEPIOIDEA",,
"E7140","E",7140,"METAZOA","MOLLUSCA","CEPHALOPODA","COLEOIDEA","TEUTHOIDEA",,
"E7150","E",7150,"METAZOA","MOLLUSCA","CEPHALOPODA","COLEOIDEA","OCTOPODA",,
"E7160","E",7160,"METAZOA","ACOELEMATES","NEMATODA","SECERNENTEA","RHABDITIDA",,
"E7170","E",7170,"METAZOA","ACOELEMATES","NEMATODA","SECERNENTEA","ASCARIDIDA",,
"E7180","E",7180,"METAZOA","ACOELEMATES","NEMATODA","SECERNENTEA","SPIRURIDA",,
"E7190","E",7190,"METAZOA","ACOELEMATES","NEMATODA","SECERNENTEA","STRONGYLIDA",,
"E7200","E",7200,"METAZOA","ACOELEMATES","NEMATODA","SECERNENTEA","TYLENCHIDA",,
"E7220","E",7220,"METAZOA","ACOELEMATES","NEMERTEA","ANOPLA","HETERONEMERTEA",,
"E7230","E",7230,"METAZOA","ACOELEMATES","PLATYHELMINTHES","TREMATODA",,,
"E7240","E",7240,"METAZOA","ACOELEMATES","PLATYHELMINTHES","CESTODA",,,
"E7250","E",7250,"METAZOA","ANNELIDA","POLYCHAETA",,,,
"E7260","E",7260,"METAZOA","ANNELIDA","OLIGOCHAETA",,,,
"E7270","E",7270,"METAZOA","ANNELIDA","HIRUDINEA",,,,
"E7280","E",7280,"METAZOA","ECHIURA","XENOPNEUSTA","URECHIDAE",,,
"E7300","E",7300,"METAZOA","PORIFERA",,,,,
"E7400","E",7400,"METAZOA","SIPUNCULA","GOLFINGIIDAE",,,,
"E7410","E",7410,"METAZOA","SIPUNCULA","SIPUNCULIDAE",,,,
"E7500","E",7500,"METAZOA","VESTIMENTIFERA",,,,,
"E7600","E",7600,"METAZOA","NOT YET CLASSIFIED",,,,,
"E8000","E",8000,"FUNGI","NOT YET CLASSIFIED",,,,,
"E8110","E",8110,"FUNGI","ASCOMYCOTINA","DISCOMYCETES",,,,
"E8120","E",8120,"FUNGI","ASCOMYCOTINA","HEMIASCOMYCETES",,,,
"E8130","E",8130,"FUNGI","ASCOMYCOTINA","LOCULOASCOMYCETES",,,,
"E8140","E",8140,"FUNGI","ASCOMYCOTINA","PLECTOMYCETES","EUROTIALES",,,
"E8150","E",8150,"FUNGI","ASCOMYCOTINA","PLECTOMYCETES","GYMNOASCALES",,,
